,Date,Count_Pos_Reviews,Count_Neg_Reviews
342,2020-10-01,4,0
343,2020-10-02,8,1
344,2020-10-03,3,0
345,2020-10-04,1,0
346,2020-10-05,16,4
347,2020-10-06,4,3
348,2020-10-07,3,0
349,2020-10-08,7,0
350,2020-10-09,0,1
351,2020-10-11,2,0
352,2020-10-12,7,0
353,2020-10-13,12,1
354,2020-10-14,7,2
355,2020-10-15,13,0
356,2020-10-16,12,2
357,2020-10-17,9,0
358,2020-10-18,1,2
359,2020-10-19,5,2
360,2020-10-20,19,2
361,2020-10-21,13,2
362,2020-10-22,13,2
363,2020-10-23,13,0
364,2020-10-24,11,3
365,2020-10-25,9,3
366,2020-10-26,4,2
367,2020-10-27,16,2
368,2020-10-28,6,0
369,2020-10-29,4,2
370,2020-10-30,10,1
371,2020-10-31,7,1
372,2020-11-01,6,0
373,2020-11-02,5,1
374,2020-11-03,24,1
375,2020-11-04,8,3
376,2020-11-05,10,5
377,2020-11-06,11,0
378,2020-11-07,13,3
379,2020-11-08,12,3
380,2020-11-09,5,1
381,2020-11-10,38,4
382,2020-11-11,22,2
383,2020-11-12,17,1
384,2020-11-13,19,2
385,2020-11-14,12,0
386,2020-11-15,9,1
387,2020-11-16,9,1
388,2020-11-17,12,2
389,2020-11-18,14,1
390,2020-11-19,8,0
391,2020-11-20,13,1
392,2020-11-21,5,1
393,2020-11-22,9,2
394,2020-11-23,13,2
395,2020-11-24,9,1
396,2020-11-25,9,2
397,2020-11-26,13,2
398,2020-11-27,10,2
399,2020-11-28,15,0
400,2020-11-29,16,2
401,2020-11-30,12,2
402,2020-12-01,17,3
403,2020-12-02,15,0
404,2020-12-03,15,1
405,2020-12-04,20,1
406,2020-12-05,14,1
407,2020-12-06,8,0
408,2020-12-07,13,1
409,2020-12-08,10,1
410,2020-12-09,5,1
411,2020-12-10,11,2
412,2020-12-11,14,1
413,2020-12-12,12,0
414,2020-12-13,6,0
415,2020-12-14,12,2
416,2020-12-15,6,0
417,2020-12-16,3,0
418,2020-12-17,22,0
419,2020-12-18,7,1
420,2020-12-19,3,2
421,2020-12-20,9,0
422,2020-12-21,11,2
423,2020-12-22,4,2
424,2020-12-23,13,0
425,2020-12-24,6,0
426,2020-12-25,7,0
427,2020-12-26,19,1
428,2020-12-27,10,1
429,2020-12-28,14,1
430,2020-12-29,6,2
431,2020-12-30,6,0
432,2020-12-31,5,0
433,2021-01-01,2,0
434,2021-01-02,5,0
435,2021-01-03,6,0
436,2021-01-04,9,3
437,2021-01-05,5,0
438,2021-01-06,4,0
439,2021-01-07,12,0
440,2021-01-08,9,3
441,2021-01-09,3,0
442,2021-01-10,6,0
443,2021-01-11,4,0
444,2021-01-12,4,0
445,2021-01-13,1,1
446,2021-01-14,2,0
447,2021-01-15,2,0
448,2021-01-16,2,1
449,2021-01-17,1,0
450,2021-01-18,7,1
451,2021-01-19,2,0
452,2021-01-20,2,0
453,2021-01-21,3,1
454,2021-01-22,2,0
455,2021-01-23,3,0
456,2021-01-24,3,0
457,2021-01-25,2,0
458,2021-01-26,2,0
459,2021-01-28,4,0
460,2021-01-29,1,0
461,2021-01-30,2,0
462,2021-01-31,3,0
463,2021-02-01,2,0
464,2021-02-02,2,0
465,2021-02-03,2,1
466,2021-02-05,1,0
467,2021-02-06,2,0
468,2021-02-07,1,0
469,2021-02-08,1,1
470,2021-02-11,1,0
471,2021-02-12,4,0
472,2021-02-14,1,0
473,2021-02-15,1,0
474,2021-02-16,1,0
475,2021-02-17,1,0
476,2021-02-18,1,0
477,2021-02-19,1,1
478,2021-02-20,3,1
479,2021-02-21,1,0
480,2021-02-22,0,1
481,2021-02-23,1,1
482,2021-02-25,1,0
483,2021-02-26,2,0
484,2021-02-27,0,1
485,2021-02-28,2,0
486,2021-03-01,2,0
487,2021-03-02,1,0
488,2021-03-03,1,1
489,2021-03-04,1,0
490,2021-03-06,1,0
491,2021-03-07,1,0
492,2021-03-08,2,0
493,2021-03-09,1,0
494,2021-03-10,4,1
495,2021-03-11,1,0
496,2021-03-12,0,1
497,2021-03-13,4,0
498,2021-03-14,2,0
499,2021-03-15,1,0
500,2021-03-16,2,1
501,2021-03-17,4,0
502,2021-03-18,2,0
503,2021-03-19,1,0
504,2021-03-20,1,0
505,2021-03-21,4,1
506,2021-03-22,1,0
507,2021-03-23,2,0
508,2021-03-24,5,0
509,2021-03-25,4,0
510,2021-03-26,1,0
511,2021-03-27,3,0
512,2021-03-28,2,0
513,2021-03-31,4,0
514,2021-04-01,3,0
515,2021-04-02,0,2
516,2021-04-03,5,1
517,2021-04-04,1,0
518,2021-04-05,8,2
519,2021-04-06,3,0
520,2021-04-07,2,0
521,2021-04-08,8,0
522,2021-04-09,2,0
523,2021-04-10,2,0
524,2021-04-11,4,0
525,2021-04-12,3,0
526,2021-04-13,3,2
527,2021-04-14,4,0
528,2021-04-15,4,2
529,2021-04-16,1,1
530,2021-04-19,4,0
531,2021-04-20,2,0
532,2021-04-21,3,0
533,2021-04-22,2,0
534,2021-04-23,3,0
535,2021-04-24,3,0
536,2021-04-25,5,0
537,2021-04-26,5,1
538,2021-04-27,1,1
539,2021-04-28,1,0
540,2021-04-29,3,1
541,2021-04-30,6,0
542,2021-05-01,4,1
543,2021-05-02,0,1
544,2021-05-04,1,0
545,2021-05-05,1,0
546,2021-05-06,1,0
547,2021-05-07,2,0
548,2021-05-08,4,0
549,2021-05-09,4,0
550,2021-05-10,4,0
551,2021-05-11,2,0
552,2021-05-13,4,1
553,2021-05-14,4,0
554,2021-05-15,1,1
555,2021-05-16,3,0
556,2021-05-17,7,2
557,2021-05-18,2,0
558,2021-05-20,2,0
559,2021-05-21,2,0
560,2021-05-22,4,0
561,2021-05-23,3,0
562,2021-05-24,1,0
563,2021-05-25,4,0
564,2021-05-26,1,0
565,2021-05-27,3,0
566,2021-05-28,5,0
567,2021-05-29,2,0
568,2021-06-01,3,0
569,2021-06-02,1,0
570,2021-06-04,3,0
571,2021-06-05,1,0
572,2021-06-06,2,1
573,2021-06-07,2,0
574,2021-06-08,3,0
575,2021-06-09,6,0
576,2021-06-10,3,0
577,2021-06-11,3,0
578,2021-06-13,3,0
579,2021-06-14,3,0
580,2021-06-15,2,0
581,2021-06-16,1,0
582,2021-06-17,3,1
583,2021-06-19,1,0
584,2021-06-20,3,0
585,2021-06-21,5,0
586,2021-06-22,2,0
587,2021-06-23,8,0
588,2021-06-24,8,0
589,2021-06-25,9,0
590,2021-06-26,8,0
591,2021-06-27,4,1
592,2021-06-28,6,0
593,2021-06-29,6,0
594,2021-06-30,8,1
595,2021-07-01,13,2
596,2021-07-02,5,1
597,2021-07-03,3,1
598,2021-07-04,5,0
599,2021-07-05,9,0
600,2021-07-06,6,0
601,2021-07-07,15,0
602,2021-07-08,11,5
603,2021-07-09,5,1
604,2021-07-10,1,1
605,2021-07-11,7,0
606,2021-07-12,8,0
607,2021-07-13,10,1
608,2021-07-14,8,0
609,2021-07-15,6,1
610,2021-07-16,11,1
611,2021-07-17,3,2
612,2021-07-18,2,0
613,2021-07-19,4,1
614,2021-07-20,1,1
615,2021-07-21,3,0
616,2021-07-22,5,0
617,2021-07-23,1,0
618,2021-07-24,2,0
619,2021-07-25,2,0
620,2021-07-26,3,0
621,2021-07-27,1,0
622,2021-07-29,4,1
623,2021-07-30,4,0
624,2021-07-31,2,0
625,2021-08-01,1,0
626,2021-08-02,3,0
627,2021-08-03,2,0
628,2021-08-04,2,0
629,2021-08-05,2,2
630,2021-08-06,2,2
631,2021-08-07,2,0
632,2021-08-08,1,1
633,2021-08-09,3,0
634,2021-08-10,7,1
635,2021-08-11,6,1
636,2021-08-12,2,1
637,2021-08-13,6,0
638,2021-08-14,7,0
639,2021-08-15,1,0
640,2021-08-16,4,0
641,2021-08-17,7,0
642,2021-08-18,1,1
643,2021-08-19,8,3
644,2021-08-20,1,1
645,2021-08-21,4,0
646,2021-08-22,3,0
647,2021-08-23,1,0
648,2021-08-24,1,2
649,2021-08-25,9,1
650,2021-08-26,7,2
651,2021-08-27,4,0
652,2021-08-28,2,0
653,2021-08-29,2,0
654,2021-08-30,5,0
655,2021-08-31,7,0
656,2021-09-01,4,1
657,2021-09-02,2,1
658,2021-09-03,6,0
659,2021-09-04,3,0
660,2021-09-05,1,0
661,2021-09-06,2,0
662,2021-09-07,3,1
663,2021-09-08,5,2
664,2021-09-09,1,1
665,2021-09-10,1,1
666,2021-09-11,3,1
667,2021-09-12,6,1
668,2021-09-13,5,0
669,2021-09-14,2,0
670,2021-09-15,5,1
671,2021-09-16,9,0
672,2021-09-17,4,1
673,2021-09-18,1,0
674,2021-09-19,2,0
675,2021-09-20,8,0
676,2021-09-21,3,1
677,2021-09-22,4,0
678,2021-09-23,10,1
679,2021-09-24,4,0
680,2021-09-25,1,1
681,2021-09-26,3,0
682,2021-09-27,3,0
683,2021-09-28,3,0
684,2021-09-29,4,1
